VM,IPv4,Folder,OS
dgpr-gun-nfs-wso2-ext,192.168.127.88,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 9 (64-bit)
dgt-app,172.19.180.2,/KleeGroup-Hosting/DC4/DGT,Red Hat Enterprise Linux 7 (64-bit)
dgt-bdd,172.19.180.3,/KleeGroup-Hosting/DC4/DGT,CentOS 6 (64-bit)
dgt-es,172.19.180.4,/KleeGroup-Hosting/DC4/DGT,Red Hat Enterprise Linux 7 (64-bit)
dgt-zonage,172.19.180.5,/KleeGroup-Hosting/DC4/DGT,Microsoft Windows Server 2012 (64-bit)
dgt-zonage-bdd,172.19.180.6,/KleeGroup-Hosting/DC4/DGT,Red Hat Enterprise Linux 7 (64-bit)
dhup-cotation-rct,192.168.127.226,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
dondesang-RCT,192.168.127.209,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
EFP_ADM,192.168.127.251,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_APP1,192.168.127.248,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_APP2,192.168.127.250,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_BDD1,192.168.127.224,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_BDD2,192.168.127.225,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_CAS1,192.168.127.221,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_CAS2,192.168.127.222,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_efpconnect-recette_APP,192.168.127.104,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_efpconnect-recette_BDD,192.168.127.144,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_efpconnect-recette_CAS,192.168.127.136,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_efpconnect-recette_ES,192.168.127.164,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_ES,192.168.127.215,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_LDAP1,192.168.127.227,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_LDAP2,192.168.127.228,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
EFP_WEB,192.168.127.220,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
Extranet,192.168.180.142,/KleeGroup-Hosting/DC4/Kleegroup,Ubuntu Linux (32-bit)
formapro-app-ext,192.168.127.175,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
formapro-bdd-ext,192.168.127.176,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
formapro-es-ext,192.168.127.177,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
guichet-unique-runners,172.19.180.20,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
gun-delivery-tracker-rct,192.168.127.7,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
hatvp-test-atlas-back,192.168.127.235,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
hatvp-test-atlas-middle,192.168.127.232,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
HATVP-TEST-BACK-1,192.168.127.204,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
HATVP-TEST-MIDDLE-1,192.168.127.201,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
HATVP-TEST-MIDDLE-2,192.168.127.202,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
HATVP-TEST-MIDDLE-3,192.168.127.203,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
IGNPRO,192.168.127.21,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5 (64-bit)
Isis-BDD,192.168.127.252,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 6 (64-bit)
Isis-Front,192.168.127.253,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5 (64-bit)
IT-BO-6LOG-001,192.168.89.80,/KleeGroup-Hosting/DC4/Management,CentOS 6 (64-bit)
IT-BO-DNS-001,192.168.89.81,/KleeGroup-Hosting/DC4/Management,CentOS 6 (64-bit)
IT-BO-RDS-001,192.168.89.60,/KleeGroup-Hosting/DC4/Management,CentOS 6 (64-bit)
IT-BO-WEBSTATS-01,192.168.180.160,/KleeGroup-Hosting/DC4/Management,CentOS 4/5 (64-bit)
IT-DT4-RUD-WEB-01,,/KleeGroup-Hosting/DC4/Management,CentOS 4/5 (64-bit)
IT-DT4-Tools-001,192.168.89.99,/KleeGroup-Hosting/DC4/Management,CentOS 4/5 (64-bit)
IT-GL-ELS-01,192.168.81.108,/KleeGroup-Hosting/DC4/Management,CentOS 4/5/6 (64-bit)
IT-GL-ELS-02,192.168.81.107,/KleeGroup-Hosting/DC4/Management,CentOS 4/5/6 (64-bit)
IT-GL-ELS-03,192.168.81.106,/KleeGroup-Hosting/DC4/Management,CentOS 4/5/6 (64-bit)
IT-GL-WEB-01,192.168.81.109,/KleeGroup-Hosting/DC4/Management,CentOS 4/5/6 (64-bit)
IT-GL-WEB-02,192.168.81.110,/KleeGroup-Hosting/DC4/Management,CentOS 4/5/6 (64-bit)
IT-RB-6LOG-001,,/KleeGroup-Hosting/TCC/Management,Red Hat Enterprise Linux 6 (64-bit)
IT-RB-CAM-01,192.168.81.240,/KleeGroup-Hosting/TCC/Management,Microsoft Windows Server 2012 (64-bit)
IT-RB-DNS-001,,/KleeGroup-Hosting/TCC/Management,Red Hat Enterprise Linux 6 (64-bit)
IT-RB-OBS-001,,/KleeGroup-Hosting/TCC/Management,Red Hat Enterprise Linux 6 (64-bit)
IT-RB-RDS-001,,/KleeGroup-Hosting/TCC/Management,Red Hat Enterprise Linux 6 (64-bit)
IT-RB-SPLA-KMS,192.168.89.240,/KleeGroup-Hosting/TCC/Management,Microsoft Windows Server 2012 (64-bit)
IT-RB-TOOLS-01,192.168.89.193,/KleeGroup-Hosting/TCC/Management,Red Hat Enterprise Linux 7 (64-bit)
IT-TCG-NXL-01,192.168.89.189,/KleeGroup-Hosting/TCC/Management,CentOS 4/5/6 (64-bit)
IT-TCG-NXL-01,192.168.81.228,/KleeGroup-Hosting/TCC/Management,CentOS 4/5/6 (64-bit)
jira-minint,192.168.127.182,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
jira-santefr,,/KleeGroup-Hosting/DC4/Rct01,Ubuntu Linux (64-bit)
justice-isis-app2,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
justice-isis-sso,192.168.127.137,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
kh05,,/KleeGroup-Hosting/TCC/Mutualise,CentOS 4/5 (64-bit)
kh06,192.168.43.199,/KleeGroup-Hosting/TCC/Mutualise,CentOS 7 (64-bit)
kh-gitlab,192.168.43.210,/KleeGroup-Hosting/TCC/Kleegroup,CentOS 7 (64-bit)
KH-STATION,192.168.140.200,/KleeGroup-Hosting/DC4/Kleegroup,Microsoft Windows XP Professional (32-bit)
KLEE-APP,,/KleeGroup-Hosting/DC4/Kleegroup,Other 2.4.x Linux (32-bit)
kleedigital-rct01,192.168.127.149,/KleeGroup-Hosting/DC4/Rct01,CentOS 6 (64-bit)
luna-ext,192.168.127.159,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
mars-demo,192.168.127.59,/KleeGroup-Hosting/DC4/Mars,CentOS 7 (64-bit)
minerve,192.168.127.82,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
Mx3,,/KleeGroup-Hosting/DC4/Kleegroup,Other Linux (32-bit)
Mx4,192.168.139.34,/KleeGroup-Hosting/DC4/Kleegroup,CentOS 4/5/6 (32-bit)
Mysql002,,/KleeGroup-Hosting/TCC/Mutualise,Other Linux (32-bit)
mysql003,,/KleeGroup-Hosting/TCC/Mutualise,CentOS 4/5 (64-bit)
Mysql005,192.168.51.99,/KleeGroup-Hosting/TCC/Mutualise,CentOS 4/5 (64-bit)
NS1.KLEEGROUP.COM,192.168.139.8,/KleeGroup-Hosting/DC4/Kleegroup,CentOS 4/5/6 (32-bit)
ns2,192.168.43.237,/KleeGroup-Hosting/TCC/Mutualise,CentOS 4/5/6 (32-bit)
oaw-recette,192.168.127.34,/KleeGroup-Hosting/DC4/Rct01,Ubuntu Linux (64-bit)
oreon-002-BOU,,/KleeGroup-Hosting/DC4/Mutualise,Other Linux (32-bit)
oreon-002-RB,,/KleeGroup-Hosting/TCC/Management,Other Linux (32-bit)
periscope-app,172.19.180.45,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
periscope-es,172.19.180.46,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
poft-serv,192.168.127.22,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
rct-gael-app,192.168.127.112,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
rct-gael-bdd,192.168.127.113,/KleeGroup-Hosting/DC4/Rct01,Microsoft Windows Server 2019 (64-bit)
Rct-Reacteur-APP,172.19.180.42,/KleeGroup-Hosting/DC4/Reacteur,Debian GNU/Linux 11 (64-bit)
Rct-Reacteur-BDD,172.19.180.44,/KleeGroup-Hosting/DC4/Reacteur,Debian GNU/Linux 11 (64-bit)
Rct-Reacteur-SEARCH,172.19.180.43,/KleeGroup-Hosting/DC4/Reacteur,Debian GNU/Linux 11 (64-bit)
rdvpref-demo,192.168.127.178,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
REACTEUR-RCT-ADMIN,172.19.180.83,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-BDD,172.19.180.85,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-CONSULT,172.19.180.84,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-ES1,172.19.180.87,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-ES2,172.19.180.88,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-ES3,172.19.180.89,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-EXT-WEB,172.19.180.82,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-GRA-MGR,172.19.180.91,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-GRA-PUB,172.19.180.90,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-GRA-STO,172.19.180.92,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
REACTEUR-RCT-MQ,172.19.180.86,/KleeGroup-Hosting/DC4/Reacteur,Red Hat Enterprise Linux 7 (64-bit)
rec-extramut,192.168.127.35,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
sandbox-devops,192.168.127.132,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
si-alternance.rct01,192.168.127.40,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6 (64-bit)
sia-refonte-api-rec-ext,172.19.180.27,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sia-refonte-app-rec-ext,172.19.180.26,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sia-refonte-batch-asp-prod,192.168.127.249,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sia-refonte-bdd-rec-ext,172.19.180.28,/KleeGroup-Hosting/DC4/Rct01,CentOS 6 (64-bit)
SIE2-BDD1-EXT,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
SIE2-BDD2-EXT,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
SIE2-JIRA-EXT,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sie2-tableau2,,/KleeGroup-Hosting/DC4/Rct01,
SIE2-TOMCAT1-EXT,,/KleeGroup-Hosting/DC4/Rct01,CentOS 7 (64-bit)
SIE2-TOMCAT2-EXT,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sigdca-app,192.168.127.67,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5 (64-bit)
sigdca-bdd,192.168.127.68,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5 (64-bit)
sigdca-ext-app2,192.168.127.2,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sigdca-ext-app3,192.168.127.3,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sigdca-ext-app4,192.168.127.109,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
sigdca-ext-bdd2,192.168.127.4,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sigdca-ext-bdd3,192.168.127.5,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sigdca-ext-bdd4,192.168.127.110,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
SIGDCA-GEOSERVER-BDD,192.168.127.117,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
SIGDCA-PREPROD,,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
si-jeunesse-back,192.168.127.205,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
si-jeunesse-bdd,192.168.127.207,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
si-jeunesse-front,192.168.127.223,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
sondages.kleegroup,192.168.127.57,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6 (32-bit)
spark-app,172.19.180.70,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-bdd,172.19.180.75,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-demo-front,172.19.180.69,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-eldorado-paramapp1,172.19.180.66,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-eldorado-paramapp2,172.19.180.67,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-eldorado-parambdd,172.19.180.68,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-hcl-e-param,192.168.127.192,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
spark-hcl-e-parambdd,192.168.127.193,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
spark-liege-param,192.168.127.153,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
spark-liege-parambdd,192.168.127.154,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
spark-maintenance-recette,192.168.127.135,/KleeGroup-Hosting/DC4/Rct01,CentOS 6 (64-bit)
spark-nfs,172.19.180.74,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-rmq,172.19.180.71,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-search,172.19.180.72,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-store,172.19.180.73,/KleeGroup-Hosting/DC4/Spark,Red Hat Enterprise Linux 7 (64-bit)
spark-total-app-rct,192.168.127.141,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
spark-total-bdd,192.168.127.142,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
SparkWeb,192.168.127.191,/KleeGroup-Hosting/DC4/Rct01,CentOS 6 (64-bit)
squashtest,192.168.127.168,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6/7 (64-bit)
suit-apache,192.168.127.62,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-app-1,192.168.127.63,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-app-2,192.168.127.64,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-batch,192.168.127.74,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-be,DOWN,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-ldap,192.168.127.69,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-matomo,192.168.127.60,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-nas,192.168.127.76,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-office,192.168.127.72,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-persist,192.168.127.65,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
suit-search,192.168.127.66,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
Test-Hot-Snap,192.168.180.42,/KleeGroup-Hosting/DC4/TEST,CentOS 4/5 (64-bit)
test-resto,192.168.127.90,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
VM-01-00-02-001,172.20.200.134,/KleeGroup-Hosting/TCC/Kleegroup,CentOS 4/5/6 (64-bit)
VM-01-00-16-001,172.20.200.34,/KleeGroup-Hosting/TCC/Kleegroup,Microsoft Windows Server 2012 (64-bit)
VM-01-05-01-601,172.17.5.90,/KleeGroup-Hosting/TCC/DGEFP-FSE,Debian GNU/Linux 10 (64-bit)
VM-01-05-01-602,172.17.5.91,/KleeGroup-Hosting/TCC/DGEFP-FSE,Debian GNU/Linux 10 (64-bit)
VM-01-05-01-701,172.17.5.207,/KleeGroup-Hosting/DC4/DGEFP-FSE,Debian GNU/Linux 10 (64-bit)
VM-01-05-16-601,172.17.5.25,/KleeGroup-Hosting/TCC/DGEFP-FSE,Debian GNU/Linux 10 (64-bit)
VM-01-05-16-701,172.17.5.242,/KleeGroup-Hosting/DC4/DGEFP-FSE,Debian GNU/Linux 10 (64-bit)
VM-01-08-02-101,192.168.179.86,/KleeGroup-Hosting/TCC/FFSA,Debian GNU/Linux 11 (64-bit)
VM-01-08-02-102,192.168.179.87,/KleeGroup-Hosting/TCC/FFSA,Other (32-bit)
VM-01-08-16-101,192.168.179.69,/KleeGroup-Hosting/TCC/FFSA,Debian GNU/Linux 11 (64-bit)
VM-01-09-02-101,172.17.19.206,/KleeGroup-Hosting/DC4/FNMF,Debian GNU/Linux 11 (64-bit)
VM-01-09-02-102,172.17.19.207,/KleeGroup-Hosting/DC4/FNMF,Other (32-bit)
VM-01-09-07-101,172.17.19.209,/KleeGroup-Hosting/DC4/FNMF,Other (32-bit)
VM-01-09-16-101,172.17.19.155,/KleeGroup-Hosting/DC4/FNMF,Debian GNU/Linux 11 (64-bit)
VM-01-09-77-001,172.17.19.75,/KleeGroup-Hosting/TCC/FNMF,Red Hat Enterprise Linux 6 (64-bit)
VM-01-13-01-006,172.17.12.235,/KleeGroup-Hosting/TCC/France Active,Red Hat Enterprise Linux 5 (32-bit)
VM-01-13-01-007,172.17.12.236,/KleeGroup-Hosting/TCC/France Active,Red Hat Enterprise Linux 5 (32-bit)
VM-01-13-01-008,172.17.12.237,/KleeGroup-Hosting/TCC/France Active,Microsoft Windows Server 2003 Standard (32-bit)
VM-01-13-01-014,172.17.12.240,/KleeGroup-Hosting/TCC/France Active,Microsoft Windows Server 2008 (32-bit)
VM-01-13-01-030,172.17.12.250,/KleeGroup-Hosting/TCC/France Active,Other (64-bit)
VM-01-13-16-007,172.17.12.118,/KleeGroup-Hosting/TCC/France Active,Microsoft Windows Server 2003 (32-bit)
VM-01-13-16-008,172.17.13.116,/KleeGroup-Hosting/DC4/France Active,Microsoft Windows Server 2003 (32-bit)
VM-01-13-16-030,172.17.12.123,/KleeGroup-Hosting/TCC/France Active,Other (64-bit)
VM-01-13-77-101,172.17.12.105,/KleeGroup-Hosting/TCC/France Active,Microsoft Windows Server 2012 (64-bit)
VM-01-13-77-102,172.17.12.106,/KleeGroup-Hosting/TCC/France Active,Microsoft Windows Server 2012 (64-bit)
VM-01-13-77-103,172.17.13.107,/KleeGroup-Hosting/DC4/France Active,Microsoft Windows Server 2012 (64-bit)
VM-01-15-01-001,172.17.15.10,/KleeGroup-Hosting/TCC/ADN,Debian GNU/Linux 10 (64-bit)
VM-01-17-01-101,172.17.113.206,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-01-102,172.17.113.207,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-16-101,172.17.113.151,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-20-101,172.17.113.211,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-22-101,172.17.113.208,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-22-102,172.17.113.209,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-77-003,172.17.113.195,/KleeGroup-Hosting/DC4/FPLP/EPM121/Archive,Microsoft Windows Server 2008 R2 (64-bit)
VM-01-17-77-101,172.17.113.216,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-17-77-102,172.17.113.87,/KleeGroup-Hosting/TCC/FPLP/EPM124,Microsoft Windows Server 2012 (64-bit)
VM-01-17-78-101,172.17.113.198,/KleeGroup-Hosting/DC4/FPLP/EPM124/Prod,Microsoft Windows Server 2012 (64-bit)
VM-01-22-01-001,172.17.22.70,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-002,172.17.22.71,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-003,172.17.22.76,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-004,172.17.22.77,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-005,172.17.22.78,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-006,172.17.22.79,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-010,172.17.22.92,/KleeGroup-Hosting/DC4/BG,Other 2.6.x Linux (32-bit)
VM-01-22-01-101,172.17.22.74,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-01-102,172.17.22.75,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-02-001,172.17.22.80,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-02-003,172.17.22.82,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-16-001,172.17.22.22,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-16-002,172.17.22.23,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-77-001,172.17.22.20,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-77-002,172.17.22.148,/KleeGroup-Hosting/TCC/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-ADC-001,172.17.22.89,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-DIM-001,172.17.22.59,/KleeGroup-Hosting/DC4/BG,Ubuntu Linux (64-bit)
VM-01-22-MIG-001,172.17.22.85,/KleeGroup-Hosting/DC4/BG,Microsoft Windows 10 (64-bit)
VM-01-22-PULSE-001,172.17.22.90,/KleeGroup-Hosting/DC4/BG,Other 2.6.x Linux (64-bit)
VM-01-22-PULSE-001-TEST-SEC,,/KleeGroup-Hosting/DC4/BG,
VM-01-22-RDS-001,172.17.22.21,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-RDS-002,172.17.22.149,/KleeGroup-Hosting/TCC/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-22-WSUS-001,172.17.22.93,/KleeGroup-Hosting/DC4/BG,Microsoft Windows Server 2016 or later (64-bit)
VM-01-24-01-001,172.17.24.70,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 7 (64-bit)
VM-01-24-01-002,172.17.24.71,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 7 (64-bit)
VM-01-24-01-003,172.17.24.74,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 7 (64-bit)
VM-01-24-01-004,172.17.24.75,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 7 (64-bit)
VM-01-24-01-101,172.17.24.72,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 4/5 (64-bit)
VM-01-24-02-001,172.17.24.76,/KleeGroup-Hosting/DC4/AGEFICE,Red Hat Enterprise Linux 7 (64-bit)
VM-01-24-10-001,172.17.24.77,/KleeGroup-Hosting/DC4/AGEFICE,Microsoft Windows Server 2022 (64-bit)
VM-01-24-16-001,172.17.24.19,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 6 (64-bit)
VM-01-24-16-002,172.17.24.20,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 6 (64-bit)
VM-01-24-16-101,172.17.24.23,/KleeGroup-Hosting/DC4/AGEFICE,Other (32-bit)
VM-01-24-17-001,172.17.24.73,/KleeGroup-Hosting/DC4/AGEFICE,CentOS 4/5 (64-bit)
VM-01-24-61-001,172.17.24.22,/KleeGroup-Hosting/DC4/AGEFICE,Debian GNU/Linux 10 (64-bit)
VM-01-24-87-001,172.17.24.21,/KleeGroup-Hosting/DC4/AGEFICE,Debian GNU/Linux 10 (64-bit)
