VM,IPv4,Folder,OS
CV-01-03-16-001,192.168.66.90,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-01-04-01-001,192.168.66.204,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-04-01-002,192.168.66.205,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-04-16-001,192.168.66.92,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-01-05-01-003,192.168.66.245,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-05-01-004,192.168.66.246,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-05-01-005,192.168.66.216,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-05-01-006,192.168.69.52,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-05-16-001,192.168.66.94,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 5 (64-bit)
CV-01-06-01-001,192.168.66.247,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-06-01-003,192.168.66.228,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-06-16-001,192.168.66.96,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-01-07-01-001,192.168.66.248,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-07-01-002,192.168.66.249,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-07-16-001,192.168.66.102,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 5 (64-bit)
CV-01-08-01-001,192.168.66.202,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-08-01-002,192.168.66.203,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-08-01-003,192.168.69.48,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-08-16-001,192.168.66.100,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-09-01-001,192.168.66.229,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-09-01-002,192.168.66.230,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-09-16-001,192.168.66.103,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-10-01-001,192.168.66.231,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-10-01-002,192.168.66.232,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-10-16-001,192.168.66.105,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-11-01-001,192.168.66.235,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-11-01-002,192.168.66.236,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2008 R2 (64-bit)
CV-01-11-16-001,192.168.66.107,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-13-01-001,192.168.66.250,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-13-01-002,192.168.66.251,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-13-16-001,192.168.66.111,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-14-01-001,192.168.66.237,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-14-01-002,192.168.66.238,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-14-16-001,192.168.66.113,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-15-01-001,192.168.66.223,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-15-01-002,192.168.66.224,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-15-16-001,192.168.66.115,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-16-01-001,192.168.66.225,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-16-01-002,192.168.66.226,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-16-16-001,192.168.66.117,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-16-16-002,192.168.66.118,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-17-01-001,192.168.66.210,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-17-01-002,192.168.66.211,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-17-16-001,192.168.66.119,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-01-19-01-001,192.168.66.217,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-19-01-002,192.168.66.218,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-19-16-001,192.168.66.123,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-01-20-01-001,192.168.66.219,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-20-01-002,192.168.66.220,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-01-20-16-001,192.168.66.83,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 4/5/6 (64-bit)
CV-01-21-01-001,192.168.66.241,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-21-01-002,192.168.66.242,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-21-01-101,192.168.69.15,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-21-01-102,192.168.69.16,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-21-16-001,192.168.66.109,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-22-01-001,192.168.66.252,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-22-01-002,192.168.66.253,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-22-16-001,192.168.66.124,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-23-01-001,192.168.66.198,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-23-01-002,192.168.66.199,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-23-16-001,192.168.66.125,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 7 (64-bit)
CV-01-24-01-002,192.168.66.197,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-24-01-003,192.168.66.212,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-24-16-001,192.168.66.98,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-25-01-001,192.168.66.194,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-25-01-002,192.168.66.201,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-25-16-001,192.168.66.126,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-26-01-001,192.168.69.10,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-26-01-002,192.168.69.11,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-26-16-001,192.168.66.67,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-27-01-001,192.168.69.12,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-27-01-002,192.168.69.13,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-27-16-001,192.168.66.68,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-28-01-001,192.168.69.17,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-28-01-002,192.168.69.18,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-28-16-001,192.168.66.71,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-29-01-001,192.168.69.19,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-29-01-002,192.168.69.20,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-29-16-001,192.168.66.72,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-30-01-001,192.168.69.21,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-30-01-002,192.168.69.22,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-30-16-001,192.168.66.73,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-31-01-001,192.168.69.23,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-31-01-002,192.168.69.24,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-31-16-001,192.168.66.74,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-32-01-001,192.168.69.25,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-32-01-002,192.168.69.26,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-32-16-001,192.168.66.75,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-33-01-001,192.168.69.28,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-33-01-002,192.168.69.29,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-33-16-001,192.168.66.76,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-34-01-001,192.168.69.30,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-34-01-002,192.168.69.31,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-34-16-001,192.168.66.77,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-35-01-001,192.168.69.32,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-35-01-002,192.168.69.33,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-35-16-001,192.168.66.78,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-36-01-001,192.168.69.35,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-36-01-002,192.168.69.36,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-01-36-16-001,192.168.66.79,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 7 (64-bit)
CV-01-37-01-001,192.168.69.37,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-37-16-001,192.168.66.80,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-38-01-001,192.168.69.42,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
